region,latitude,longitude,time,sea_current_speed,direction
Selat Malaka & Sumatra Barat,-5.368421,104.736842,2026-05-29T00:00,0.4,297
Selat Malaka & Sumatra Barat,-5.368421,105.368421,2026-05-29T00:00,0.0,90
Selat Malaka & Sumatra Barat,-5.368421,106.0,2026-05-29T00:00,1.7,13
Selat Malaka & Sumatra Barat,-6.0,94.0,2026-05-29T00:00,1.3,90
Selat Malaka & Sumatra Barat,-6.0,94.631579,2026-05-29T00:00,1.1,99
Selat Malaka & Sumatra Barat,-6.0,95.263158,2026-05-29T00:00,0.9,90
Selat Malaka & Sumatra Barat,-6.0,95.894737,2026-05-29T00:00,1.2,51
Selat Malaka & Sumatra Barat,-6.0,96.526316,2026-05-29T00:00,1.3,45
Selat Malaka & Sumatra Barat,-6.0,97.157895,2026-05-29T00:00,1.0,59
Selat Malaka & Sumatra Barat,-6.0,97.789474,2026-05-29T00:00,1.5,60
Selat Malaka & Sumatra Barat,-6.0,98.421053,2026-05-29T00:00,1.5,83
Selat Malaka & Sumatra Barat,-6.0,99.052632,2026-05-29T00:00,1.7,103
Selat Malaka & Sumatra Barat,-6.0,99.684211,2026-05-29T00:00,1.8,114
Selat Malaka & Sumatra Barat,-6.0,100.315789,2026-05-29T00:00,1.7,122
Selat Malaka & Sumatra Barat,-6.0,100.947368,2026-05-29T00:00,1.6,117
Selat Malaka & Sumatra Barat,-6.0,101.578947,2026-05-29T00:00,1.4,113
Selat Malaka & Sumatra Barat,-6.0,102.210526,2026-05-29T00:00,1.4,113
Selat Malaka & Sumatra Barat,-6.0,102.842105,2026-05-29T00:00,0.8,207
Selat Malaka & Sumatra Barat,-6.0,103.473684,2026-05-29T00:00,0.4,63
