latitude,longitude,time,sea_current_speed,direction
-0.12299366666666667,103.81692011111112,2026-05-29T00:00,0.5,0
-0.12299366666666667,103.90247266666667,2026-05-29T00:00,0.9,0
-0.12299366666666667,103.98802522222222,2026-05-29T00:00,0.7,346
-0.12299366666666667,104.07357777777779,2026-05-29T00:00,0.8,297
-0.12299366666666667,104.15913033333334,2026-05-29T00:00,0.4,297
-0.12299366666666667,104.24468288888889,2026-05-29T00:00,0.2,0
-0.12299366666666667,104.33023544444445,2026-05-29T00:00,0.2,0
-0.12299366666666667,104.415788,2026-05-29T00:00,0.4,27
-0.19653477777777784,103.645815,2026-05-29T00:00,0.4,333
-0.19653477777777784,103.73136755555555,2026-05-29T00:00,0.4,333
-0.19653477777777784,103.81692011111112,2026-05-29T00:00,0.6,342
-0.19653477777777784,103.90247266666667,2026-05-29T00:00,0.5,0
-0.19653477777777784,104.15913033333334,2026-05-29T00:00,0.4,333
-0.19653477777777784,104.24468288888889,2026-05-29T00:00,0.4,333
-0.19653477777777784,104.33023544444445,2026-05-29T00:00,0.4,0
-0.19653477777777784,104.415788,2026-05-29T00:00,0.4,333
-0.2700758888888889,103.645815,2026-05-29T00:00,0.4,333
-0.2700758888888889,103.73136755555555,2026-05-29T00:00,0.4,333
-0.2700758888888889,103.81692011111112,2026-05-29T00:00,0.4,333
-0.2700758888888889,103.98802522222222,2026-05-29T00:00,0.4,333
-0.2700758888888889,104.07357777777779,2026-05-29T00:00,0.4,333
-0.2700758888888889,104.15913033333334,2026-05-29T00:00,0.4,0
-0.2700758888888889,104.24468288888889,2026-05-29T00:00,0.4,333
-0.2700758888888889,104.33023544444445,2026-05-29T00:00,0.4,0
-0.2700758888888889,104.415788,2026-05-29T00:00,0.2,0
-0.343617,103.645815,2026-05-29T00:00,0.0,90
-0.343617,103.73136755555555,2026-05-29T00:00,0.3,315
-0.343617,103.81692011111112,2026-05-29T00:00,0.4,333
-0.343617,103.90247266666667,2026-05-29T00:00,0.4,0
-0.343617,103.98802522222222,2026-05-29T00:00,0.4,0
-0.343617,104.07357777777779,2026-05-29T00:00,0.4,333
